eventID,occurrenceID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementAccuracy,measurementDeterminedDate,measurementMethod
St. John_356_2,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,24.9,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
St. John_356_2,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,24.9,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
St. John_356_2,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,24.9,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
St. John_356_3,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,22.6,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
St. John_356_3,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,22.6,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
St. John_356_3,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,22.6,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
St. John_356_3,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,22.6,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
St. John_250_1,,rugosity,,0.295833,,,,2004-07-16,
St. John_250_1,,rugosity,,0.295833,,,,2004-07-16,
St. John_250_1,,rugosity,,0.295833,,,,2004-07-16,
St. John_250_1,,rugosity,,0.295833,,,,2004-07-16,
St. John_250_2,,rugosity,,0.364583,,,,2004-07-16,
St. John_250_2,,rugosity,,0.364583,,,,2004-07-16,
St. John_250_2,,rugosity,,0.364583,,,,2004-07-16,
St. John_250_2,,rugosity,,0.364583,,,,2004-07-16,
St. John_250_3,,rugosity,,0.413461,,,,2004-07-16,
St. John_250_3,,rugosity,,0.413461,,,,2004-07-16,
St. John_250_3,,rugosity,,0.413461,,,,2004-07-16,
St. John_250_3,,rugosity,,0.413461,,,,2004-07-16,
St. John_356_1,,rugosity,,0.312587,,,,2004-07-17,
St. John_356_1,,rugosity,,0.312587,,,,2004-07-17,
St. John_356_1,,rugosity,,0.312587,,,,2004-07-17,
St. John_356_1,,rugosity,,0.312587,,,,2004-07-17,
St. John_356_2,,rugosity,,0.158489,,,,2004-07-17,
St. John_356_2,,rugosity,,0.158489,,,,2004-07-17,
St. John_356_2,,rugosity,,0.158489,,,,2004-07-17,
St. John_356_2,,rugosity,,0.158489,,,,2004-07-17,
St. John_356_3,,rugosity,,0.489574,,,,2004-07-17,
St. John_356_3,,rugosity,,0.489574,,,,2004-07-17,
St. John_356_3,,rugosity,,0.489574,,,,2004-07-17,
St. John_356_3,,rugosity,,0.489574,,,,2004-07-17,
St. John_250_1,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,0,Percent/100m^2,,5,2004-07-16,
St. John_250_1,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,5,Percent/100m^2,,5,2004-07-16,
St. John_250_1,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,15,Percent/100m^2,,5,2004-07-16,
St. John_250_1,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,0,Percent/100m^2,,5,2004-07-16,
St. John_250_2,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,0,Percent/100m^2,,5,2004-07-16,
St. John_250_2,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,3,Percent/100m^2,,5,2004-07-16,
St. John_250_2,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,0,Percent/100m^2,,5,2004-07-16,
St. John_250_2,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,0,Percent/100m^2,,5,2004-07-16,
St. John_250_3,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,22,Percent/100m^2,,5,2004-07-16,
St. John_250_3,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,0,Percent/100m^2,,5,2004-07-16,
St. John_250_3,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,16,Percent/100m^2,,5,2004-07-16,
St. John_250_3,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,0,Percent/100m^2,,5,2004-07-16,
St. John_356_1,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,10,Percent/100m^2,,5,2004-07-17,
St. John_356_1,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,2,Percent/100m^2,,5,2004-07-17,
St. John_356_1,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,14,Percent/100m^2,,5,2004-07-17,
St. John_356_1,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,4,Percent/100m^2,,5,2004-07-17,
St. John_356_2,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,25,Percent/100m^2,,5,2004-07-17,
St. John_356_2,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,10,Percent/100m^2,,5,2004-07-17,
St. John_356_2,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,0,Percent/100m^2,,5,2004-07-17,
St. John_356_2,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,16,Percent/100m^2,,5,2004-07-17,
St. John_356_3,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,28,Percent/100m^2,,5,2004-07-17,
St. John_356_3,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,0,Percent/100m^2,,5,2004-07-17,
St. John_356_3,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,0,Percent/100m^2,,5,2004-07-17,
St. John_356_3,d8705645-c74a-4f05-9f1c-2e97cbde2fb6,Percent Cover,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/,13,Percent/100m^2,,5,2004-07-17,
