w,Program,Project Name,Site Name,GPS Level,Point Name,CTD Station Name,Substrate,Biotic Subclass,Biotic Community,Status,Public,Boat Lat,Boat Long,Decimal Lat,Decimal Long,Established,Survey Type,Survey Frequency,Depth_m,Primary Sampling Method,Transect Bearing,Transect Distance,Last Updated,Other Structure,Bolt,Temperature Logger,Logger Type,Notes,Student Projects
Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_ESTUARY_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,51 46.8189689999998,127 52.2558840000002,51.78031615,-127.8709314,2016,observation,seasonal,,transect,NA,,201710,,,,,,
Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_ESTUARY_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,51 46.7602062,127 52.3237632000001,51.77933677,-127.8720627,2016,observation,seasonal,,transect,NA,,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,51 55.4568000000002,128 27.3887999999999,51.92428,-128.45648,2014,observation,annual,,transect,NA,,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,51 55.3530000000001,128 27.2244000000006,51.92255,-128.45374,2014,observation,annual,,transect,NA,,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_EDGE3,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.3643999999998,128 26.9502000000006,51.92274,-128.44917,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_INTERIOR4,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.4634000000001,128 27.1355999999997,51.92439,-128.45226,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_INTERIOR5,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.5911999999998,128 27.1902,51.92652,-128.45317,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_INTERIOR6,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.6596000000002,128 27.0071999999999,51.92766,-128.45012,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,51 55.4496599999999,128 27.7132199999994,51.924161,-128.461887,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,51 55.3637399999998,128 27.7683000000002,51.922729,-128.462805,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_EDGE3,,sand,seagrass meadow,Zostera marina,active,yes,51 55.3442999999999,128 27.9752399999995,51.922405,-128.466254,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_INTERIOR4,,sand,seagrass meadow,Zostera marina,active,yes,51 55.43694,128 28.0481999999995,51.923949,-128.46747,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,51 55.3671600000001,128 27.8719199999995,51.922786,-128.464532,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,51 55.4389200000001,128 27.8442599999994,51.923982,-128.464071,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,52 3.6660000000002,128 24.8058000000003,52.0611,-128.41343,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,52 3.72299999999996,128 24.8334000000006,52.06205,-128.41389,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_EDGE3,,sand,seagrass meadow,Zostera marina,active,yes,52 3.68700000000004,128 24.7325999999993,52.06145,-128.41221,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_INTERIOR4,,sand,seagrass meadow,Zostera marina,active,yes,52 3.68279999999999,128 24.7584000000006,52.06138,-128.41264,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,52 3.68279999999999,128 24.7902000000005,52.06138,-128.41317,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,52 3.69299999999981,128 24.8243999999994,52.06155,-128.41374,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,52 3.14519999999987,128 24.1697999999997,52.05242,-128.40283,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,52 3.10020000000009,128 24.1757999999999,52.05167,-128.40293,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_EDGE3,,sand,seagrass meadow,Zostera marina,active,yes,52 3.07259999999985,128 24.2021999999997,52.05121,-128.40337,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_INTERIOR4,,sand,seagrass meadow,Zostera marina,active,yes,52 3.12060000000017,128 24.1901999999993,52.05201,-128.40317,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,52 3.15120000000007,128 24.1973999999999,52.05252,-128.40329,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,52 3.18360000000013,128 24.1872000000001,52.05306,-128.40312,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,51 48.5928,128 14.1300000000001,51.80988,-128.2355,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,51 48.5975999999998,128 14.0795999999995,51.80996,-128.23466,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_EDGE3,,sand,seagrass meadow,Zostera marina,active,yes,51 48.5622000000001,128 14.0303999999992,51.80937,-128.23384,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_INTERIOR4,,sand,seagrass meadow,Zostera marina,active,yes,51 48.5502000000001,128 14.1125999999997,51.80917,-128.23521,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,51 48.5213999999999,128 14.1516000000001,51.80869,-128.23586,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,51 48.4950000000001,128 14.1894000000002,51.80825,-128.23649,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_EDGE1,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5657999999999,128 14.8548,51.80943,-128.24758,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_EDGE2,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5544000000002,128 14.8290000000003,51.80924,-128.24715,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_EDGE3,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5196000000002,128 14.8115999999999,51.80866,-128.24686,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_INTERIOR4,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5166000000001,128 14.8259999999993,51.80861,-128.2471,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_INTERIOR5,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5328000000001,128 14.8475999999994,51.80888,-128.24746,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_INTERIOR6,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5441999999999,128 14.8415999999992,51.80907,-128.24736,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Rocky Intertidal,North Beach,site,NA,ROCKY07,bedrock,attached fauna,multiple communities,active,yes,51 39.9048000000002,128 8.08200000000056,51.66508,-128.1347,2016,observation,seasonal,,,NA,,201710,,,,,,
Hakai,Nearshore,Rocky Intertidal,West Beach,site,NA,ROCKY06,bedrock,attached fauna,multiple communities,active,yes,51 39.4453800000001,128 8.92883999999924,51.657423,-128.148814,2016,observation,seasonal,,,NA,,201710,,,,,,
Hakai,Nearshore,Rocky Intertidal,Fifth Beach,site,NA,ROCKY03,bedrock,attached fauna,multiple communities,active,yes,51 38.4408000000002,128 9.40674000000001,51.64068,-128.156779,2016,observation,seasonal,,,NA,,201710,,,,,,
Hakai,Nearshore,Kelp - Rocky Reef,McMullin,site,NA,REEF11,,benthic macroalgae,,active,yes,52 4.24200000000013,128 24.3899999999996,52.0707,-128.4065,2013,,annual,,transect + quadrat,175,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Hakai,Nearshore,Kelp - Rocky Reef,Athabaskan,site,NA,REEF10,,benthic macroalgae,,active,yes,52 1.44300000000015,128 18.0469980000004,52.02405,-128.3007833,2013,,annual,,transect + quadrat,200,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Hakai,Nearshore,Kelp - Rocky Reef,Simonds,site,NA,REEF09,,benthic macroalgae,,active,yes,51 57.6179999999998,128 15.6859979999996,51.9603,-128.2614333,2013,,annual,,transect + quadrat,350,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Hakai,Nearshore,Kelp - Rocky Reef,Gosling,site,NA,REEF08,,benthic macroalgae,,active,yes,51 53.964,128 25.9469999999993,51.8994,-128.43245,2013,,annual,,transect + quadrat,25,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Hakai,Nearshore,Kelp - Rocky Reef,Triquet,site,NA,REEF07,,benthic macroalgae,,active,yes,51 48.3432000000001,128 15.4800000000006,51.80572,-128.258,2013,,annual,,transect + quadrat,NA,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Hakai,Nearshore,Kelp - Rocky Reef,Mercury,site,NA,REEF06,,benthic macroalgae,,active,yes,51 44.6530002,128 4.1590020000001,51.74421667,-128.0693167,2013,,annual,,transect + quadrat,50,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Hakai,Nearshore,Kelp - Rocky Reef,Kelpie,site,NA,REEF05,,benthic macroalgae,,active,yes,51 43.9939997999998,127 59.7589980000004,51.73323333,-127.9959833,2013,,annual,,transect + quadrat,350,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Hakai,Nearshore,Kelp - Rocky Reef,Odlum,site,NA,REEF04,,benthic macroalgae,,active,yes,51 41.5600002000001,128 6.98800199999937,51.69266667,-128.1164667,2013,,annual,,transect + quadrat,0,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Hakai,Nearshore,Kelp - Rocky Reef,Starfish,site,NA,REEF03,,benthic macroalgae,,active,yes,51 40.8150000000001,128 7.53900000000044,51.68025,-128.12565,2013,,annual,,transect + quadrat,120,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Hakai,Nearshore,Kelp - Rocky Reef,Second,site,NA,REEF02,,benthic macroalgae,,active,yes,51 38.9089997999999,128 9.3569999999994,51.64848333,-128.15595,2013,,annual,,transect + quadrat,75,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Hakai,Nearshore,Kelp - Rocky Reef,Thrasher,site,NA,REEF01,,benthic macroalgae,,active,yes,51 24.6199998,127 55.1719979999999,51.41033333,-127.9195333,2013,,annual,,transect + quadrat,0,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Hakai,Nearshore,Kelp - Macro,Simonds,site,NA,MACRO05,,benthic macroalgae,Macrocystis pyrifera,active,yes,51 57.7121999999999,128 15.7139999999998,51.96187,-128.2619,2014,observation,annual,,transect + quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert in 2018",
Hakai,Nearshore,Kelp - Macro,Golden,site,NA,MACRO04,,benthic macroalgae,Macrocystis pyrifera,active,yes,51 54.1842,128 12.7799999999996,51.90307,-128.213,2014,observation,annual,,transect + quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert in 2018",
Hakai,Nearshore,Kelp - Macro,Stryker,site,NA,MACRO06,,benthic macroalgae,Macrocystis pyrifera,active,yes,52 5.0149998000002,128 21.8730000000005,52.08358333,-128.36455,2014,observation,annual,,transect + quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert in 2018",
Hakai,Nearshore,Kelp - Macro,Triquet,site,NA,MACRO01,,benthic macroalgae,Macrocystis pyrifera,active,yes,51 48.3430002000001,128 15.4789980000004,51.80571667,-128.2579833,2014,observation,"seasonal 2014 - 2018, annual 2019",,transect + quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert in 2018",
Hakai,Nearshore,Kelp - Macro,West Beach,site,NA,MACRO10,,benthic macroalgae,Macrocystis pyrifera,active,yes,51 38.9500199999999,128 9.11400000000071,51.649167,-128.1519,2014,observation,"seasonal 2014 - 2018, annual 2020",,transect + quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert in 2018",
Hakai,Nearshore,Kelp - Macro,Meay,site,NA,MACRO02,,benthic macroalgae,Macrocystis pyrifera,active,yes,51 39.8687999999999,128 5.72999999999922,51.66448,-128.0955,2014,observation,annual,,transect + quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert in 2018",
Hakai,Nearshore,Kelp - Macro,Womanley,site,NA,MACRO11,,benthic macroalgae,Macrocystis pyrifera,active,yes,51 48.1399799999998,128 12.0190200000008,51.802333,-128.200317,2017,observation,"seasonal 2017 -2018, annual 2019",,transect + quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert in 2018",
Hakai,Nearshore,Kelp - Nereo,North,site,NA,KELP09,,benthic macroalgae,Nereocystis luetkeana,active,yes,51 40.0270199999999,128 8.42100000000073,51.667117,-128.14035,2016,observation,"seasonal 2014 - 2018, annual 2019",,transect + quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert in 2018",
Hakai,Nearshore,Kelp - Nereo,Second,site,NA,KELP08,,benthic macroalgae,Nereocystis luetkeana,active,yes,51 38.9680200000001,128 9.32202000000075,51.649467,-128.155367,2016,observation,"seasonal 2014 - 2018, annual 2020",,transect + quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert in 2018",
Hakai,Nearshore,Kelp - Nereo,Manley,site,NA,KELP10,,benthic macroalgae,Nereocystis luetkeana,active,yes,51 48.0738263999999,128 11.9954579999995,51.80123044,-128.1999243,2016,observation,"seasonal 2014 - 2018, annual 2021",,transect + quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert in 2018",
Hakai,Oceanography,MGEO,QCS01,site,NA,QCS01,ocean,NA,NA,active,yes,51 42.2999999999999,128 14.3040000000008,51.705,-128.2384,2016,observation,annual,125,"CTD, water collections",NA,NA,20190509,,,,,,
Hakai,Oceanography,MGEO,QCS02,site,NA,QCS02,ocean,NA,NA,active,yes,51 41.688,128 17.5860000000006,51.6948,-128.2931,2016,observation,annual,143,"CTD, water collections",NA,NA,20190509,,,,,,
Hakai,Oceanography,MGEO,QCS03,site,NA,QCS03,ocean,NA,NA,active,yes,51 38.0489999999999,128 15.8050019999996,51.63415,-128.2634167,2016,observation,annual,130,"CTD, water collections",NA,NA,20190509,,,,,,
