"","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","collector","hakai_id","sample_type","depth","transect_dist","collected_start","collected_end","density","density_msq","canopy_height_cm","flowering_shoots","comments","quality_log"
"20","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5",2017-08-25,5,"angeleen,carolyn","derek","2017-08-25_CHOKED_PASS_INTERIOR5_0","seagrass_density",5.3,0,2017-08-25 16:32:09,2017-08-25 16:39:17,6,96,125,NA,NA,NA
"21","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5",2017-08-25,5,"angeleen,carolyn","derek","2017-08-25_CHOKED_PASS_INTERIOR5_5","seagrass_density",5.3,5,2017-08-25 16:32:09,2017-08-25 16:39:17,5,80,100,NA,NA,NA
"22","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5",2017-08-25,5,"angeleen,carolyn","derek","2017-08-25_CHOKED_PASS_INTERIOR5_10","seagrass_density",5.1,10,2017-08-25 16:32:09,2017-08-25 16:39:17,6,96,100,NA,NA,NA
"23","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5",2017-08-25,5,"angeleen,carolyn","derek","2017-08-25_CHOKED_PASS_INTERIOR5_15","seagrass_density",4.8,15,2017-08-25 16:32:09,2017-08-25 16:39:17,10,160,110,NA,NA,NA
"24","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5",2017-08-25,5,"angeleen,carolyn","derek","2017-08-25_CHOKED_PASS_INTERIOR5_20","seagrass_density",5.5,20,2017-08-25 16:32:09,2017-08-25 16:39:17,5,80,120,NA,NA,NA
"25","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5",2017-08-25,5,"angeleen,carolyn","derek","2017-08-25_CHOKED_PASS_INTERIOR5_25","seagrass_density",5.3,25,2017-08-25 16:32:09,2017-08-25 16:39:17,0,0,100,NA,NA,NA
"26","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5",2017-08-25,5,"angeleen,carolyn","derek","2017-08-25_CHOKED_PASS_INTERIOR5_30","seagrass_density",5.2,30,2017-08-25 16:32:09,2017-08-25 16:39:17,3,48,125,NA,NA,NA
"27","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_EDGE3",2017-08-28,3,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_EDGE3_0","seagrass_density",5.6,0,2017-08-28 17:38:44,2017-08-28 17:41:50,1,16,100,NA,NA,NA
"28","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_EDGE3",2017-08-28,3,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_EDGE3_5","seagrass_density",5.5,5,2017-08-28 17:38:44,2017-08-28 17:41:50,0,0,0,NA,NA,NA
"29","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_EDGE3",2017-08-28,3,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_EDGE3_10","seagrass_density",5.2,10,2017-08-28 17:38:44,2017-08-28 17:41:50,1,16,110,NA,NA,NA
"30","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_EDGE3",2017-08-28,3,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_EDGE3_15","seagrass_density",6,15,2017-08-28 17:38:44,2017-08-28 17:41:50,2,32,130,NA,NA,NA
"31","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_EDGE3",2017-08-28,3,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_EDGE3_20","seagrass_density",6,20,2017-08-28 17:38:44,2017-08-28 17:41:50,0,0,0,NA,NA,NA
"32","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_EDGE3",2017-08-28,3,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_EDGE3_25","seagrass_density",6,25,2017-08-28 17:38:44,2017-08-28 17:41:50,0,0,75,NA,NA,NA
"33","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_EDGE3",2017-08-28,3,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_EDGE3_30","seagrass_density",5.8,30,2017-08-28 17:38:44,2017-08-28 17:41:50,0,0,100,NA,NA,NA
"34","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_INTERIOR5",2017-08-28,5,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_INTERIOR5_0","seagrass_density",4.5,0,2017-08-28 18:42:21,2017-08-28 18:47:39,2,32,100,NA,NA,NA
"35","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_INTERIOR5",2017-08-28,5,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_INTERIOR5_5","seagrass_density",3.7,5,2017-08-28 18:42:21,2017-08-28 18:47:39,0,0,0,NA,NA,NA
"36","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_INTERIOR5",2017-08-28,5,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_INTERIOR5_10","seagrass_density",3.8,10,2017-08-28 18:42:21,2017-08-28 18:47:39,3,48,90,NA,NA,NA
"37","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_INTERIOR5",2017-08-28,5,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_INTERIOR5_15","seagrass_density",3.1,15,2017-08-28 18:42:21,2017-08-28 18:47:39,2,32,80,NA,NA,NA
"38","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_INTERIOR5",2017-08-28,5,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_INTERIOR5_20","seagrass_density",3.2,20,2017-08-28 18:42:21,2017-08-28 18:47:39,10,160,100,NA,NA,NA
"39","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_INTERIOR5",2017-08-28,5,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_INTERIOR5_25","seagrass_density",3,25,2017-08-28 18:42:21,2017-08-28 18:47:39,8,128,90,NA,NA,NA
"40","HAKAI","CALVERT","MARINEGEO","TRIQUET_NORTH","TRIQUET_NORTH_INTERIOR5",2017-08-28,5,"angeleen,gillian","derek","2017-08-28_TRIQUET_NORTH_INTERIOR5_30","seagrass_density",3,30,2017-08-28 18:42:21,2017-08-28 18:47:39,3,48,50,NA,NA,NA
"41","HAKAI","CALVERT","MARINEGEO","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE2",2017-08-29,2,"angeleen","derek","2017-08-29_MCMULLIN_NORTH_EDGE2_0","seagrass_density",2.2,0,2017-08-29 17:23:17,2017-08-29 17:29:24,6,96,125,0,NA,NA
"42","HAKAI","CALVERT","MARINEGEO","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE2",2017-08-29,2,"angeleen","derek","2017-08-29_MCMULLIN_NORTH_EDGE2_5","seagrass_density",2.1,5,2017-08-29 17:23:17,2017-08-29 17:29:24,13,208,100,0,NA,NA
"43","HAKAI","CALVERT","MARINEGEO","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE2",2017-08-29,2,"angeleen","derek","2017-08-29_MCMULLIN_NORTH_EDGE2_10","seagrass_density",2,10,2017-08-29 17:23:17,2017-08-29 17:29:24,20,320,75,0,NA,NA
"44","HAKAI","CALVERT","MARINEGEO","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE2",2017-08-29,2,"angeleen","derek","2017-08-29_MCMULLIN_NORTH_EDGE2_15","seagrass_density",2,15,2017-08-29 17:23:17,2017-08-29 17:29:24,10,160,80,0,NA,NA
"45","HAKAI","CALVERT","MARINEGEO","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE2",2017-08-29,2,"angeleen","derek","2017-08-29_MCMULLIN_NORTH_EDGE2_20","seagrass_density",1.9,20,2017-08-29 17:23:17,2017-08-29 17:29:24,14,224,95,0,NA,NA
"46","HAKAI","CALVERT","MARINEGEO","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE2",2017-08-29,2,"angeleen","derek","2017-08-29_MCMULLIN_NORTH_EDGE2_25","seagrass_density",1.6,25,2017-08-29 17:23:17,2017-08-29 17:29:24,12,192,100,0,NA,NA
"47","HAKAI","CALVERT","MARINEGEO","MCMULLIN_NORTH","MCMULLIN_NORTH_EDGE2",2017-08-29,2,"angeleen","derek","2017-08-29_MCMULLIN_NORTH_EDGE2_30","seagrass_density",1.7,30,2017-08-29 17:23:17,2017-08-29 17:29:24,12,192,75,0,NA,NA
"48","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2017-11-22,6,"gillian","derek","2017-11-22_CHOKED_PASS_INTERIOR6_0","seagrass_density",8.7,0,2017-11-22 20:45:32,2017-11-22 20:50:51,4,64,80,0,NA,NA
"49","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2017-11-22,6,"gillian","derek","2017-11-22_CHOKED_PASS_INTERIOR6_5","seagrass_density",8.8,5,2017-11-22 20:45:32,2017-11-22 20:50:51,5,80,90,0,NA,NA
"50","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2",2018-02-19,2,"gillian","derek","2018-02-19_PRUTH_BAY_EDGE2_0","seagrass_density",4,0,2018-02-19 20:35:03,2018-02-19 20:40:13,3,48,50,NA,NA,NA
"51","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2",2018-02-19,2,"gillian","derek","2018-02-19_PRUTH_BAY_EDGE2_5","seagrass_density",4.5,5,2018-02-19 20:35:03,2018-02-19 20:40:13,4,64,50,NA,NA,NA
"52","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2",2018-02-19,2,"gillian","derek","2018-02-19_PRUTH_BAY_EDGE2_10","seagrass_density",4.7,10,2018-02-19 20:35:03,2018-02-19 20:40:13,8,128,50,NA,NA,NA
"53","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2",2018-02-19,2,"gillian","derek","2018-02-19_PRUTH_BAY_EDGE2_15","seagrass_density",4.9,15,2018-02-19 20:35:03,2018-02-19 20:40:13,4,64,60,NA,NA,NA
"54","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2",2018-02-19,2,"gillian","derek","2018-02-19_PRUTH_BAY_EDGE2_20","seagrass_density",4.9,20,2018-02-19 20:35:03,2018-02-19 20:40:13,6,96,60,NA,NA,NA
"55","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2",2018-02-19,2,"gillian","derek","2018-02-19_PRUTH_BAY_EDGE2_25","seagrass_density",5.1,25,2018-02-19 20:35:03,2018-02-19 20:40:13,3,48,70,NA,NA,NA
"56","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2",2018-02-19,2,"gillian","derek","2018-02-19_PRUTH_BAY_EDGE2_30","seagrass_density",5,30,2018-02-19 20:35:03,2018-02-19 20:40:13,4,64,35,NA,NA,NA
"57","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2018-02-21,6,"gillian","derek","2018-02-21_CHOKED_PASS_INTERIOR6_0","seagrass_density",6.1,0,2018-02-21 18:41:24,2018-02-21 18:46:33,7,112,80,NA,NA,NA
"58","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2018-02-21,6,"gillian","derek","2018-02-21_CHOKED_PASS_INTERIOR6_5","seagrass_density",6.2,5,2018-02-21 18:41:24,2018-02-21 18:46:33,10,160,75,NA,NA,NA
"59","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2018-02-21,6,"gillian","derek","2018-02-21_CHOKED_PASS_INTERIOR6_10","seagrass_density",6.1,10,2018-02-21 18:41:24,2018-02-21 18:46:33,12,192,70,NA,NA,NA
"60","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2018-02-21,6,"gillian","derek","2018-02-21_CHOKED_PASS_INTERIOR6_20","seagrass_density",6,20,2018-02-21 18:41:24,2018-02-21 18:46:33,5,80,75,NA,NA,NA
"61","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2018-02-21,6,"gillian","derek","2018-02-21_CHOKED_PASS_INTERIOR6_15","seagrass_density",6.2,15,2018-02-21 18:41:24,2018-02-21 18:46:33,9,144,70,NA,NA,NA
"62","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2018-02-21,6,"gillian","derek","2018-02-21_CHOKED_PASS_INTERIOR6_25","seagrass_density",6.5,25,2018-02-21 18:41:24,2018-02-21 18:46:33,10,160,85,NA,NA,NA
"63","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2018-02-21,6,"gillian","derek","2018-02-21_CHOKED_PASS_INTERIOR6_30","seagrass_density",6.6,30,2018-02-21 18:41:24,2018-02-21 18:46:33,3,48,75,NA,NA,NA
"64","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1",2017-09-01,1,"angeleen,gillian",NA,"2017-09-01_KOEYE_ESTUARY_EDGE1_0","seagrass_density",2.8,0,2017-09-01 18:54:07,2017-09-01 18:57:37,21,336,200,NA,NA,NA
"65","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1",2017-09-01,1,"angeleen,gillian",NA,"2017-09-01_KOEYE_ESTUARY_EDGE1_10","seagrass_density",2.5,10,2017-09-01 18:54:07,2017-09-01 18:57:37,30,480,100,NA,NA,NA
"66","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1",2017-09-01,1,"angeleen,gillian",NA,"2017-09-01_KOEYE_ESTUARY_EDGE1_15","seagrass_density",2.6,15,2017-09-01 18:54:07,2017-09-01 18:57:37,17,272,80,NA,NA,NA
"67","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1",2017-09-01,1,"angeleen,gillian",NA,"2017-09-01_KOEYE_ESTUARY_EDGE1_20","seagrass_density",2.3,20,2017-09-01 18:54:07,2017-09-01 18:57:37,12,192,80,NA,NA,NA
"68","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1",2017-09-01,1,"angeleen,gillian",NA,"2017-09-01_KOEYE_ESTUARY_EDGE1_25","seagrass_density",2.3,25,2017-09-01 18:54:07,2017-09-01 18:57:37,18,288,85,NA,NA,NA
"69","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1",2017-09-01,1,"angeleen,gillian",NA,"2017-09-01_KOEYE_ESTUARY_EDGE1_30","seagrass_density",2.1,30,2017-09-01 18:54:07,2017-09-01 18:57:37,7,112,50,NA,NA,NA
"70","HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1",2017-09-01,1,"angeleen,gillian",NA,"2017-09-01_KOEYE_ESTUARY_EDGE1_5","seagrass_density",2.9,5,2017-09-01 18:54:07,2017-09-01 18:57:37,23,368,210,NA,NA,NA
"71","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2017-05-19,1,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE1_0","seagrass_density",3.4,0,2017-05-19 16:45:26,2017-05-19 16:58:44,10,160,80,NA,NA,NA
"72","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2017-05-19,1,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE1_5","seagrass_density",3.4,5,2017-05-19 16:45:26,2017-05-19 16:58:44,4,64,80,NA,NA,NA
"73","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2017-05-19,1,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE1_10","seagrass_density",3.4,10,2017-05-19 16:45:26,2017-05-19 16:58:44,13,208,70,NA,NA,NA
"74","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2017-05-19,1,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE1_15","seagrass_density",3.5,15,2017-05-19 16:45:50,2017-05-19 16:58:43,9,144,100,NA,NA,NA
"75","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2017-05-19,1,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE1_20","seagrass_density",3.3,20,2017-05-19 16:45:26,2017-05-19 16:58:44,4,64,100,NA,NA,NA
"76","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2017-05-19,1,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE1_25","seagrass_density",3.3,25,2017-05-19 16:45:26,2017-05-19 16:58:44,7,112,80,NA,NA,NA
"77","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1",2017-05-19,1,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE1_30","seagrass_density",3.3,30,2017-05-19 16:45:26,2017-05-19 16:58:44,6,96,100,NA,NA,NA
"78","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3",2017-05-19,3,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE3_0","seagrass_density",4.9,0,2017-05-19 21:54:57,2017-05-19 21:59:16,6,96,110,NA,NA,NA
"79","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3",2017-05-19,3,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE3_5","seagrass_density",4.9,5,2017-05-19 21:54:57,2017-05-19 21:59:16,5,80,110,NA,NA,NA
"80","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3",2017-05-19,3,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE3_10","seagrass_density",4.8,10,2017-05-19 21:54:57,2017-05-19 21:59:16,2,32,80,NA,NA,NA
"81","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3",2017-05-19,3,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE3_15","seagrass_density",4.8,15,2017-05-19 21:54:57,2017-05-19 21:59:16,0,0,0,NA,NA,NA
"82","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3",2017-05-19,3,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE3_20","seagrass_density",4.8,20,2017-05-19 21:54:57,2017-05-19 21:59:16,0,0,0,NA,NA,NA
"83","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3",2017-05-19,3,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE3_25","seagrass_density",4.8,25,2017-05-19 21:54:57,2017-05-19 21:59:16,4,64,80,NA,NA,NA
"84","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3",2017-05-19,3,"gillian,gillian.sadlierbrown","ondine","2017-05-19_CHOKED_PASS_EDGE3_30","seagrass_density",5.1,30,2017-05-19 21:54:57,2017-05-19 21:59:16,2,32,70,NA,NA,NA
"85","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR4",2017-07-06,4,"gillian","zach","2017-07-06_CHOKED_PASS_INTERIOR4_0","seagrass_density",7.7,0,2017-07-06 20:55:18,2017-07-06 21:00:35,4,64,145,0,NA,NA
"86","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR4",2017-07-06,4,"gillian","zach","2017-07-06_CHOKED_PASS_INTERIOR4_5","seagrass_density",7.5,5,2017-07-06 20:55:18,2017-07-06 21:00:35,3,48,100,0,NA,NA
"87","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR4",2017-07-06,4,"gillian","zach","2017-07-06_CHOKED_PASS_INTERIOR4_10","seagrass_density",7.5,10,2017-07-06 20:55:18,2017-07-06 21:00:35,5,80,150,0,NA,NA
"88","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR4",2017-07-06,4,"gillian","zach","2017-07-06_CHOKED_PASS_INTERIOR4_15","seagrass_density",7.5,15,2017-07-06 20:55:18,2017-07-06 21:00:35,4,64,125,0,NA,NA
"89","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR4",2017-07-06,4,"gillian","zach","2017-07-06_CHOKED_PASS_INTERIOR4_20","seagrass_density",7.4,20,2017-07-06 20:55:18,2017-07-06 21:00:35,3,48,90,0,NA,NA
"90","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR4",2017-07-06,4,"gillian","zach","2017-07-06_CHOKED_PASS_INTERIOR4_25","seagrass_density",7.4,25,2017-07-06 20:55:18,2017-07-06 21:00:35,6,96,125,0,NA,NA
