,organization,work_area,project,survey,site_id,date,sampling_bout,dive_supervisor,collector,hakai_id,sample_type,depth,transect_dist,collected_start,collected_end,bag_uid,bag_number,density_range,substrate,patchiness,adj_habitat_1,adj_habitat_2,sample_collected,vegetation_1,vegetation_2,comments,quality_log
11,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE1,2017-05-19,1,"gillian,gillian.sadlierbrown",kyle,7090,seagrass_habitat,3.4,20 - 25,2017-05-19 16:52,2017-05-19 16:58,7090,1008,NA,"sand,shell hash",< 1,sand,NA,TRUE,NA,NA,NA,NA
12,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE1,2017-05-19,1,"gillian,gillian.sadlierbrown",kyle,7101,seagrass_habitat,3.3,25 - 30,2017-05-19 16:52,2017-05-19 16:58,7101,1004,NA,"sand,shell hash",02-Jan,sand,NA,TRUE,NA,NA,NA,NA
13,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE3,2017-05-19,3,"gillian,gillian.sadlierbrown",NA,7031,seagrass_habitat,4.8,0 - 5,2017-05-19 21:54,2017-05-19 21:59,7031,301,NA,"sand,shell hash",< 1,standing kelp,NA,TRUE,des,NA,NA,NA
14,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE3,2017-05-19,3,"gillian,gillian.sadlierbrown",NA,2017-05-19_CHOKED_PASS_EDGE3_5 - 10,seagrass_habitat,4.8,10-May,2017-05-19 21:54,2017-05-19 21:59,NA,NA,NA,"sand,shell hash",< 1,standing kelp,NA,FALSE,des,NA,NA,NA
15,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE3,2017-05-19,3,"gillian,gillian.sadlierbrown",NA,7109,seagrass_habitat,4.8,15-Oct,2017-05-19 21:54,2017-05-19 21:59,7109,324,NA,"sand,shell hash",02-Jan,standing kelp,NA,TRUE,des,NA,NA,NA
16,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE3,2017-05-19,3,"gillian,gillian.sadlierbrown",NA,2017-05-19_CHOKED_PASS_EDGE3_15 - 20,seagrass_habitat,4.8,15 - 20,2017-05-19 21:54,2017-05-19 21:59,NA,NA,NA,"sand,shell hash",< 1,standing kelp,NA,FALSE,des,NA,NA,NA
17,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE3,2017-05-19,3,"gillian,gillian.sadlierbrown",NA,7102,seagrass_habitat,4.8,20 - 25,2017-05-19 21:54,2017-05-19 21:59,7102,850,NA,"sand,shell hash",< 1,standing kelp,NA,TRUE,des,NA,NA,NA
18,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE3,2017-05-19,3,"gillian,gillian.sadlierbrown",NA,7064,seagrass_habitat,4.8,25 - 30,2017-05-19 21:54,2017-05-19 21:59,7064,933,NA,"sand,shell hash",< 1,standing kelp,NA,TRUE,des,NA,NA,NA
19,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2017-07-03,5,angeleen,tanya,2352,seagrass_habitat,2.4,0 - 5,2017-07-03 17:25,2017-07-03 17:30,2352,324,NA,"mud,sand",< 1,seagrass,NA,TRUE,zm,NA,NA,NA
20,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2017-07-03,5,angeleen,tanya,2017-07-03_PRUTH_BAY_INTERIOR5_5 - 10,seagrass_habitat,2.4,10-May,2017-07-03 17:25,2017-07-03 17:30,NA,NA,NA,"mud,sand",< 1,seagrass,NA,FALSE,zm,NA,NA,NA
21,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2017-07-03,5,angeleen,tanya,2669,seagrass_habitat,2.4,15-Oct,2017-07-03 17:25,2017-07-03 17:30,2669,1005,NA,"mud,sand",< 1,seagrass,NA,TRUE,zm,NA,NA,NA
22,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2017-07-03,5,angeleen,tanya,2017-07-03_PRUTH_BAY_INTERIOR5_15 - 20,seagrass_habitat,2.4,15 - 20,2017-07-03 17:25,2017-07-03 17:30,NA,NA,NA,"mud,sand",< 1,seagrass,NA,FALSE,zm,NA,NA,NA
23,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2017-07-03,5,angeleen,tanya,2681,seagrass_habitat,2.4,20 - 25,2017-07-03 17:25,2017-07-03 17:30,2681,722,NA,"mud,sand",< 1,seagrass,NA,TRUE,zm,NA,NA,NA
24,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2017-07-03,5,angeleen,tanya,2375,seagrass_habitat,2.3,25 - 30,2017-07-03 17:25,2017-07-03 17:30,2375,1008,NA,"mud,sand",< 1,seagrass,NA,TRUE,zm,NA,NA,NA
25,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR5,2017-08-25,5,"angeleen,carolyn",zach,10255,seagrass_habitat,5.3,0 - 5,2017-08-25 16:32,2017-08-25 16:38,10255,3506,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,des,NA,NA,NA
26,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR5,2017-08-25,5,"angeleen,carolyn",zach,10221,seagrass_habitat,5.2,10-May,2017-08-25 16:32,2017-08-25 16:38,10221,124,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,des,NA,NA,1: Extra shoots
27,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR5,2017-08-25,5,"angeleen,carolyn",zach,10245,seagrass_habitat,5.2,15-Oct,2017-08-25 16:32,2017-08-25 16:38,10245,3504,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,des,agarum,NA,NA
28,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR5,2017-08-25,5,"angeleen,carolyn",zach,10229,seagrass_habitat,5.4,15 - 20,2017-08-25 16:32,2017-08-25 16:38,10229,906,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,NA,NA,NA,1: Extra shoots
29,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR5,2017-08-25,5,"angeleen,carolyn",zach,10082,seagrass_habitat,5.4,20 - 25,2017-08-25 16:32,2017-08-25 16:38,10082,3505,NA,"sand,shell hash",03-Feb,seagrass,NA,TRUE,des,NA,NA,NA
30,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR5,2017-08-25,5,"angeleen,carolyn",zach,10075,seagrass_habitat,5.4,25 - 30,2017-08-25 16:32,2017-08-25 16:38,10075,3507,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,des,NA,NA,NA
31,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_EDGE3,2017-08-28,3,"angeleen,gillian",zach,10023,seagrass_habitat,5.6,0 - 5,2017-08-28 17:37,2017-08-28 17:47,10023,3555,NA,"sand,gravel",05-Apr,standing kelp,NA,TRUE,NA,NA,NA,"1: Macro, BGB=10037"
32,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_EDGE3,2017-08-28,3,"angeleen,gillian",zach,2017-08-28_TRIQUET_NORTH_EDGE3_5 - 10,seagrass_habitat,5.5,10-May,2017-08-28 17:37,2017-08-28 17:47,NA,NA,NA,"sand,shell hash",05-Apr,standing kelp,NA,FALSE,macro,NA,NA,1: Macro
33,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_EDGE3,2017-08-28,3,"angeleen,gillian",zach,10033,seagrass_habitat,5.73525,15-Oct,2017-08-28 17:37,2017-08-28 17:47,10033,3525,NA,"sand,shell hash",02-Jan,standing kelp,NA,TRUE,NA,NA,NA,"1: Macro, BGB=10214"
34,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_EDGE3,2017-08-28,3,"angeleen,gillian",zach,2017-08-28_TRIQUET_NORTH_EDGE3_15 - 20,seagrass_habitat,5.9,15 - 20,2017-08-28 17:37,2017-08-28 17:47,NA,NA,NA,"sand,shell hash",05-Apr,standing kelp,NA,FALSE,des,NA,NA,1: Macro
35,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_EDGE3,2017-08-28,3,"angeleen,gillian",zach,8964,seagrass_habitat,6.1,20 - 25,2017-08-28 17:37,2017-08-28 17:47,8964,3551,NA,"sand,shell hash",05-Apr,standing kelp,NA,TRUE,macro,NA,NA,"1: Macro, bgb=10008"
36,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_EDGE3,2017-08-28,3,"angeleen,gillian",zach,10076,seagrass_habitat,6.1,25 - 30,2017-08-28 17:37,2017-08-28 17:47,10076,3519,NA,"sand,shell hash",05-Apr,standing kelp,NA,TRUE,macro,NA,NA,"1: Macr, bgb=10148"
37,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_INTERIOR5,2017-08-28,5,"angeleen,gillian",zach,10127,seagrass_habitat,4.4,0 - 5,2017-08-28 18:41,2017-08-28 18:46,10127,3534,NA,"sand,shell hash",04-Mar,seagrass,standing kelp,TRUE,NA,NA,NA,"1: Standing is macro, bgb 10147"
38,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_INTERIOR5,2017-08-28,5,"angeleen,gillian",zach,10048,seagrass_habitat,4.1,10-May,2017-08-28 18:41,2017-08-28 18:46,10048,356,NA,"sand,shell hash",03-Feb,seagrass,standing kelp,TRUE,macro,NA,NA,1: Standing macro
39,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_INTERIOR5,2017-08-28,5,"angeleen,gillian",zach,8925,seagrass_habitat,3.9,15-Oct,2017-08-28 18:41,2017-08-28 18:46,8925,907,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,NA,NA,NA,1: Bgb 10049
40,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_INTERIOR5,2017-08-28,5,"angeleen,gillian",zach,8914,seagrass_habitat,3.5,15 - 20,2017-08-28 18:41,2017-08-28 18:46,8914,3015,NA,"sand,shell hash",02-Jan,seagrass,NA,TRUE,NA,NA,NA,NA
41,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_INTERIOR5,2017-08-28,5,"angeleen,gillian",zach,10078,seagrass_habitat,3.2,20 - 25,2017-08-28 18:41,2017-08-28 18:46,10078,3518,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,NA,NA,NA,1: Bgb 10143
42,HAKAI,CALVERT,MARINEGEO,TRIQUET_NORTH,TRIQUET_NORTH_INTERIOR5,2017-08-28,5,"angeleen,gillian",zach,10145,seagrass_habitat,3.6,25 - 30,2017-08-28 18:41,2017-08-28 18:46,10145,3517,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,NA,NA,NA,1: Bgb 10203
43,HAKAI,CALVERT,MARINEGEO,MCMULLIN_NORTH,MCMULLIN_NORTH_EDGE2,2017-08-29,2,angeleen,zach,10181,seagrass_habitat,2.5,0 - 5,2017-08-29 17:22,2017-08-29 17:32,10181,3501,NA,"sand,shell hash",< 1,sand,NA,TRUE,NA,NA,NA,1: Bgb uid 10118
44,HAKAI,CALVERT,MARINEGEO,MCMULLIN_NORTH,MCMULLIN_NORTH_EDGE2,2017-08-29,2,angeleen,zach,2017-08-29_MCMULLIN_NORTH_EDGE2_5 - 10,seagrass_habitat,2.5,10-May,2017-08-29 17:22,2017-08-29 17:32,NA,NA,NA,"sand,shell hash",< 1,sand,NA,FALSE,NA,NA,NA,NA
45,HAKAI,CALVERT,MARINEGEO,MCMULLIN_NORTH,MCMULLIN_NORTH_EDGE2,2017-08-29,2,angeleen,zach,10160,seagrass_habitat,2.3,15-Oct,2017-08-29 17:22,2017-08-29 17:32,10160,101,NA,"sand,shell hash",< 1,sand,NA,TRUE,NA,NA,NA,1: Bgb uid 10193
46,HAKAI,CALVERT,MARINEGEO,MCMULLIN_NORTH,MCMULLIN_NORTH_EDGE2,2017-08-29,2,angeleen,zach,2017-08-29_MCMULLIN_NORTH_EDGE2_15 - 20,seagrass_habitat,2.2,15 - 20,2017-08-29 17:22,2017-08-29 17:32,NA,NA,NA,"sand,shell hash",< 1,sand,NA,FALSE,NA,NA,NA,NA
47,HAKAI,CALVERT,MARINEGEO,MCMULLIN_NORTH,MCMULLIN_NORTH_EDGE2,2017-08-29,2,angeleen,zach,10170,seagrass_habitat,2.1,20 - 25,2017-08-29 17:22,2017-08-29 17:32,10170,106,NA,"sand,shell hash",< 1,sand,NA,TRUE,NA,NA,NA,1: Bgb uid 10205
48,HAKAI,CALVERT,MARINEGEO,MCMULLIN_NORTH,MCMULLIN_NORTH_EDGE2,2017-08-29,2,angeleen,zach,10196,seagrass_habitat,2,25 - 30,2017-08-29 17:22,2017-08-29 17:32,10196,501,NA,"sand,shell hash",< 1,sand,NA,TRUE,NA,NA,NA,1: Bgb uid 10060
49,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2017-09-01,1,"angeleen,gillian",kyle,11131,seagrass_habitat,3,0 - 5,2017-09-01 18:44,2017-09-01 18:55,11131,3513,NA,"sand,detritus",< 1,sand,NA,TRUE,NA,NA,NA,1: bgb uid 11025
50,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2017-09-01,1,"angeleen,gillian",kyle,2017-09-01_KOEYE_ESTUARY_EDGE1_5 - 10,seagrass_habitat,2.8,10-May,2017-09-01 18:44,2017-09-01 18:55,NA,NA,NA,"sand,detritus",< 1,sand,NA,FALSE,NA,NA,NA,NA
51,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2017-09-01,1,"angeleen,gillian",kyle,10851,seagrass_habitat,2.7,15-Oct,2017-09-01 18:44,2017-09-01 18:55,10851,3519,NA,"sand,detritus",< 1,sand,NA,TRUE,NA,NA,NA,1: bgb uid 10851
52,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2017-09-01,1,"angeleen,gillian",kyle,2017-09-01_KOEYE_ESTUARY_EDGE1_15 - 20,seagrass_habitat,2.7,15 - 20,2017-09-01 18:44,2017-09-01 18:55,NA,NA,NA,"sand,detritus",< 1,sand,NA,FALSE,NA,NA,NA,NA
53,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2017-09-01,1,"angeleen,gillian",kyle,10833,seagrass_habitat,2.7,20 - 25,2017-09-01 18:44,2017-09-01 18:55,10833,907,NA,"sand,detritus",< 1,sand,NA,TRUE,NA,NA,NA,1: bgb uid 10924
54,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2017-09-01,1,"angeleen,gillian",kyle,11133,seagrass_habitat,2.6,25 - 30,2017-09-01 18:44,2017-09-01 18:55,11133,3535,NA,"sand,detritus",< 1,sand,NA,TRUE,scytosiphon,NA,NA,1: bgb uid 10943
55,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2018-02-19,2,gillian,ben,11081,seagrass_habitat,4.1,0 - 5,2018-02-19 20:33,2018-02-19 20:38,11081,3211,NA,"mud,sand",02-Jan,sand,NA,TRUE,NA,NA,NA,NA
56,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2018-02-19,2,gillian,ben,2018-02-19_PRUTH_BAY_EDGE2_5 - 10,seagrass_habitat,4.3,10-May,2018-02-19 20:33,2018-02-19 20:38,NA,NA,NA,"mud,sand",< 1,sand,NA,FALSE,NA,NA,NA,NA
57,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2018-02-19,2,gillian,ben,2018-02-19_PRUTH_BAY_EDGE2_10 - 15,seagrass_habitat,4.4,15-Oct,2018-02-19 20:33,2018-02-19 20:38,NA,NA,NA,"mud,sand",< 1,sand,NA,FALSE,NA,NA,NA,NA
58,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2018-02-19,2,gillian,ben,11077,seagrass_habitat,4.6,15 - 20,2018-02-19 20:33,2018-02-19 20:38,11077,804,NA,"mud,sand",< 1,sand,NA,TRUE,NA,NA,NA,NA
59,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2018-02-19,2,gillian,ben,2018-02-19_PRUTH_BAY_EDGE2_20 - 25,seagrass_habitat,4.7,20 - 25,2018-02-19 20:33,2018-02-19 20:38,NA,NA,NA,"mud,sand",< 1,sand,NA,FALSE,NA,NA,NA,NA
60,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2018-02-19,2,gillian,ben,11082,seagrass_habitat,4.7,25 - 30,2018-02-19 20:33,2018-02-19 20:38,11082,5,NA,"mud,sand",< 1,sand,NA,TRUE,NA,NA,NA,NA
61,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2018-02-21,6,gillian,NA,11103,seagrass_habitat,6,0 - 5,2018-02-21 18:39,2018-02-21 18:44,11103,6000,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,NA,NA,NA,NA
62,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2018-02-21,6,gillian,NA,2018-02-21_CHOKED_PASS_INTERIOR6_5 - 10,seagrass_habitat,6.2,10-May,2018-02-21 18:39,2018-02-21 18:44,NA,NA,NA,"sand,shell hash",02-Jan,seagrass,NA,FALSE,NA,NA,NA,NA
63,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2018-02-21,6,gillian,NA,2018-02-21_CHOKED_PASS_INTERIOR6_10 - 15,seagrass_habitat,6,15-Oct,2018-02-21 18:39,2018-02-21 18:44,NA,NA,NA,"sand,shell hash",< 1,seagrass,NA,FALSE,NA,NA,NA,NA
64,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2018-02-21,6,gillian,NA,10868,seagrass_habitat,6,15 - 20,2018-02-21 18:39,2018-02-21 18:44,10868,4,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,NA,NA,NA,NA
65,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2018-02-21,6,gillian,NA,2018-02-21_CHOKED_PASS_INTERIOR6_20 - 25,seagrass_habitat,6.5,20 - 25,2018-02-21 18:39,2018-02-21 18:44,NA,NA,NA,"sand,shell hash",< 1,seagrass,NA,FALSE,NA,NA,NA,NA
66,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2018-02-21,6,gillian,NA,11101,seagrass_habitat,6.5,25 - 30,2018-02-21 18:39,2018-02-21 18:44,11101,1000,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,NA,NA,NA,NA
67,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR4,2017-07-06,4,gillian,kyle,2651,seagrass_habitat,7.7,0 - 5,2017-07-06 21:02,2017-07-06 21:13,2651,911,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,des,NA,NA,NA
68,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR4,2017-07-06,4,gillian,kyle,2017-07-06_CHOKED_PASS_INTERIOR4_5 - 10,seagrass_habitat,7.5,10-May,2017-07-06 21:02,2017-07-06 21:13,NA,NA,NA,"sand,shell hash",< 1,seagrass,NA,FALSE,des,NA,NA,NA
69,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR4,2017-07-06,4,gillian,kyle,2360,seagrass_habitat,7.5,15-Oct,2017-07-06 21:02,2017-07-06 21:13,2360,712,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,des,NA,NA,NA
70,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR4,2017-07-06,4,gillian,kyle,2017-07-06_CHOKED_PASS_INTERIOR4_15 - 20,seagrass_habitat,7.4,15 - 20,2017-07-06 21:02,2017-07-06 21:13,NA,NA,NA,"sand,shell hash",< 1,seagrass,NA,FALSE,des,NA,NA,NA
71,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR4,2017-07-06,4,gillian,kyle,2738,seagrass_habitat,7.4,20 - 25,2017-07-06 21:02,2017-07-06 21:13,2738,306,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,des,NA,NA,NA
72,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR4,2017-07-06,4,gillian,kyle,17002,seagrass_habitat,7.5,25 - 30,2017-07-06 21:02,2017-07-06 21:13,17002,314,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,des,NA,NA,NA
73,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE2,2018-06-19,2,angeleen,zach,11176,seagrass_habitat,5.9,0 - 5,2018-06-19 21:36,2018-06-19 21:41,11176,3561,NA,"sand,shell hash",< 1,sand,NA,TRUE,des,NA,NA,1: 0% flowering
74,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE2,2018-06-19,2,angeleen,zach,2018-06-19_CHOKED_PASS_EDGE2_5 - 10,seagrass_habitat,4.7,10-May,2018-06-19 21:36,2018-06-19 21:41,NA,NA,NA,"sand,shell hash",< 1,sand,NA,FALSE,des,NA,NA,1: 1% flowering
75,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE2,2018-06-19,2,angeleen,zach,10949,seagrass_habitat,5.949,15-Oct,2018-06-19 21:36,2018-06-19 21:41,10949,3555,NA,"sand,shell hash",< 1,sand,NA,TRUE,des,NA,NA,1: 1% flowering
76,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE2,2018-06-19,2,angeleen,zach,2018-06-19_CHOKED_PASS_EDGE2_15 - 20,seagrass_habitat,5.1,15 - 20,2018-06-19 21:36,2018-06-19 21:41,NA,NA,NA,"sand,shell hash",< 1,sand,NA,FALSE,des,NA,NA,1: 1% flowering
77,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE2,2018-06-19,2,angeleen,zach,17098,seagrass_habitat,5.2,20 - 25,2018-06-19 21:36,2018-06-19 21:41,17098,30612,NA,"sand,shell hash",< 1,sand,NA,TRUE,zm,NA,NA,1: 1% flowering
78,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE2,2018-06-19,2,angeleen,zach,11097,seagrass_habitat,5.3,25 - 30,2018-06-19 21:36,2018-06-19 21:41,11097,3511,NA,"sand,shell hash",< 1,sand,seagrass,TRUE,des,NA,NA,1: 1% flowering
79,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR5,2018-06-19,5,angeleen,zach,17063,seagrass_habitat,5.9,0 - 5,2018-06-19 21:11,2018-06-19 21:15,17063,6011,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,zm,zm,NA,1: 0% flowering
