w,Program,Project Name,Site Name,GPS Level,Point Name,CTD Station Name,Substrate,Biotic Subclass,Biotic Community,Status,Public,Boat Lat,Boat Long,Decimal Lat,Decimal Long,Established,Survey Type,Survey Frequency,Depth_m,Primary Sampling Method,Transect Bearing,Transect Distance,Last Updated,Other Structure,Bolt,Temperature Logger,Logger Type,Notes,Student Projects
Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_PASS_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,51 40.3539894000001,128 7.03246199999967,51.67256649,-128.1172077,2015,observation,seasonal,,transect,NA,30m,201710,,,,,Old name = Wolf,"Olson MSc 2015, Adamczyk Phd 2017"
Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_PASS_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,51 40.4095236000001,128 7.08118199999944,51.67349206,-128.1180197,2015,observation,seasonal,,transect,NA,30m,201710,,,,,Old name = InnerCarolyn,Olson MSc 2015
Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_PASS_INTERIOR4,,sand,seagrass meadow,Zostera marina,active,yes,51 40.4722787999998,128 7.06636800000069,51.67453798,-128.1177728,2015,observation,seasonal,,transect,NA,30m,201710,,,,,Old name = InnerDerek,Olson MSc 2015
Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_PASS_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,51 40.4894046000001,128 7.16725800000006,51.67482341,-128.1194543,2015,observation,seasonal,,transect,NA,30m,201710,,,,,Old name = InnerTristan,Olson MSc 2015
Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_PASS_EDGE3,,sand,seagrass meadow,Zostera marina,active,yes,51 40.4956134000001,128 7.42458600000077,51.67492689,-128.1237431,2015,observation,seasonal,,transect,NA,30m,201710,,,,,Old name = Flat,Olson MSc 2015
Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_PASS_EDGE7,,sand,seagrass meadow,Zostera marina,active,yes,51 40.7333081999998,128 7.55880599999955,51.67888847,-128.1259801,2015,observation,seasonal,,transect,NA,30m,201710,,,,,Old name = Lower,Olson MSc 2015
Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_BAY_BAY_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,51 38.8243194,128 7.22526599999924,51.64707199,-128.1204211,2016,observation,seasonal,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_BAY_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,51 38.7975732000001,128 7.18798800000059,51.64662622,-128.1197998,2016,observation,seasonal,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_BAY_EDGE3,,sand,seagrass meadow,Zostera marina,active,yes,51 38.7935544000001,128 7.14632399999971,51.64655924,-128.1191054,2016,observation,seasonal,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_BAY_INTERIOR4,,sand,seagrass meadow,Zostera marina,active,yes,51 38.755764,128 7.16199000000074,51.6459294,-128.1193665,2016,observation,seasonal,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_BAY_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,51 38.7192792,128 7.15513799999997,51.64532132,-128.1192523,2016,observation,seasonal,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_BAY_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,51 38.6849243999998,128 7.19044799999949,51.64474874,-128.1198408,2016,observation,seasonal,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_ESTUARY_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,51 46.8900125999998,127 51.9432618000002,51.78150021,-127.865721,2016,observation,seasonal,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_ESTUARY_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,51 46.8111935999998,127 52.2377639999999,51.78018656,-127.8706294,2016,observation,seasonal,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_ESTUARY_EDGE3,,sand,seagrass meadow,Zostera marina,active,yes,51 46.7554980000001,127 52.3123998,51.7792583,-127.8718733,2016,observation,seasonal,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_ESTUARY_INTERIOR4,,sand,seagrass meadow,Zostera marina,active,yes,51 46.9041467999999,127 51.9571049999996,51.78173578,-127.8659518,2016,observation,seasonal,,transect,NA,,201710,,,,,,
Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_ESTUARY_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,51 46.8189689999998,127 52.2558840000002,51.78031615,-127.8709314,2016,observation,seasonal,,transect,NA,,201710,,,,,,
Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_ESTUARY_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,51 46.7602062,127 52.3237632000001,51.77933677,-127.8720627,2016,observation,seasonal,,transect,NA,,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,51 55.4568000000002,128 27.3887999999999,51.92428,-128.45648,2014,observation,annual,,transect,NA,,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,51 55.3530000000001,128 27.2244000000006,51.92255,-128.45374,2014,observation,annual,,transect,NA,,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_EDGE3,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.3643999999998,128 26.9502000000006,51.92274,-128.44917,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_INTERIOR4,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.4634000000001,128 27.1355999999997,51.92439,-128.45226,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_INTERIOR5,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.5911999999998,128 27.1902,51.92652,-128.45317,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSE_SOUTHEAST_INTERIOR6,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.6596000000002,128 27.0071999999999,51.92766,-128.45012,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,51 55.4496599999999,128 27.7132199999994,51.924161,-128.461887,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,51 55.3637399999998,128 27.7683000000002,51.922729,-128.462805,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_EDGE3,,sand,seagrass meadow,Zostera marina,active,yes,51 55.3442999999999,128 27.9752399999995,51.922405,-128.466254,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_INTERIOR4,,sand,seagrass meadow,Zostera marina,active,yes,51 55.43694,128 28.0481999999995,51.923949,-128.46747,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,51 55.3671600000001,128 27.8719199999995,51.922786,-128.464532,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSE_SOUTHWEST_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,51 55.4389200000001,128 27.8442599999994,51.923982,-128.464071,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,52 3.6660000000002,128 24.8058000000003,52.0611,-128.41343,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,52 3.72299999999996,128 24.8334000000006,52.06205,-128.41389,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_EDGE3,,sand,seagrass meadow,Zostera marina,active,yes,52 3.68700000000004,128 24.7325999999993,52.06145,-128.41221,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_INTERIOR4,,sand,seagrass meadow,Zostera marina,active,yes,52 3.68279999999999,128 24.7584000000006,52.06138,-128.41264,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,52 3.68279999999999,128 24.7902000000005,52.06138,-128.41317,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLIN_NORTH_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,52 3.69299999999981,128 24.8243999999994,52.06155,-128.41374,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,52 3.14519999999987,128 24.1697999999997,52.05242,-128.40283,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,52 3.10020000000009,128 24.1757999999999,52.05167,-128.40293,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_EDGE3,,sand,seagrass meadow,Zostera marina,active,yes,52 3.07259999999985,128 24.2021999999997,52.05121,-128.40337,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_INTERIOR4,,sand,seagrass meadow,Zostera marina,active,yes,52 3.12060000000017,128 24.1901999999993,52.05201,-128.40317,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,52 3.15120000000007,128 24.1973999999999,52.05252,-128.40329,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLIN_SOUTH_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,52 3.18360000000013,128 24.1872000000001,52.05306,-128.40312,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,51 48.5928,128 14.1300000000001,51.80988,-128.2355,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_EDGE2,,sand,seagrass meadow,Zostera marina,active,yes,51 48.5975999999998,128 14.0795999999995,51.80996,-128.23466,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_EDGE3,,sand,seagrass meadow,Zostera marina,active,yes,51 48.5622000000001,128 14.0303999999992,51.80937,-128.23384,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_INTERIOR4,,sand,seagrass meadow,Zostera marina,active,yes,51 48.5502000000001,128 14.1125999999997,51.80917,-128.23521,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_INTERIOR5,,sand,seagrass meadow,Zostera marina,active,yes,51 48.5213999999999,128 14.1516000000001,51.80869,-128.23586,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQUET_BAY_INTERIOR6,,sand,seagrass meadow,Zostera marina,active,yes,51 48.4950000000001,128 14.1894000000002,51.80825,-128.23649,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_EDGE1,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5657999999999,128 14.8548,51.80943,-128.24758,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_EDGE2,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5544000000002,128 14.8290000000003,51.80924,-128.24715,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_EDGE3,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5196000000002,128 14.8115999999999,51.80866,-128.24686,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_INTERIOR4,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5166000000001,128 14.8259999999993,51.80861,-128.2471,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_INTERIOR5,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5328000000001,128 14.8475999999994,51.80888,-128.24746,2014,observation,annual,,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQUET_NORTH_INTERIOR6,,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5441999999999,128 14.8415999999992,51.80907,-128.24736,2014,observation,annual,,transect,NA,30m,201710,,,,,,
