Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal _degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Accepted_Organism_Identification,Life_Stage,APHIA_ID,Abundance_[#/m3],Biomass_[mg dw/m3]
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Bivalvia, ,105,2099.534,0.7778
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Echinodermata,bipinnaria,1806,374.917,0.9783
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Cirripedia,nauplii,1082,4049.101,1.8726
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Oithona similis, ,106656,2849.367,3.1294
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Centropages abdominalis, ,196774,1593.396,3.9523
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Polychaeta,larvae,883,2062.042,4.5245
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Pisces,larvae,11676,0.198,n/a
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Isopoda, ,1131,0.198,n/a
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Rotifera, ,14260,12.641,0.00001
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Harpacticoida, ,1102,0.198,0.0006
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Harpacticoida, ,1102,0.198,0.0007
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Cyclopoida,nauplii,1101,3.16,0.002
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Calanus glacialis/marshallae, ,196770,0.79,0.0038
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Limacina helicina, ,140223,37.922,0.0083
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Pseudocalanus newmani, ,157679,4.74,0.0148
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Obelia longissima, ,117389,0.79,0.0167
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Pseudocalanus,male,104165,7.9,0.0183
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Parasagitta elegans, ,105440,0.79,0.0304
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Pseudocalanus acuspes, ,104514,11.061,0.0618
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Cirripedia,nauplii,1082,151.687,0.077
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Ophiuroidea,larvae,123084,606.746,0.096
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Podon leuckartii, ,106277,44.242,0.11
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Fritillaria borealis, ,103375,619.388,0.117
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Eurytemora herdmani, ,157670,18.961,0.1422
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Gastropoda,larvae,101,935.402,0.1476
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Eurytemora, ,104240,82.164,0.1779
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Melicertum octocostatum, ,117743,0.198,0.1926
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Echinodermata,bipinnaria,1806,189.609,0.2021
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Calanoida,nauplii,1100,632.029,0.2027
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Echinodermata,larvae,1806,7382.076,0.2951
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Bivalvia, ,105,2578.677,0.3559
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Pseudocalanus, ,104165,322.335,0.4078
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Acartia hudsonica, ,157664,151.687,0.5039
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Acartia longiremis, ,104257,126.406,0.5732
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Acartia, ,104108,808.997,0.634
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Aglantha digitale, ,117849,442.42,0.7644
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Cirripedia,cyprid,1082,151.687,1.1199
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Oithona similis, ,106656,3134.862,1.9822
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Centropages abdominalis, ,196774,1112.37,2.0426
AMBON2017,ML1.1,TWINRING_150UM_MICROSCOPY,2017-08-17T15:24,-162.766,70.0357,16,,13,Polychaeta,larvae,883,4853.967,4.1109
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Isopoda, ,1131,1.782,n/a
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Rotifera, ,14260,3.563,0.00001
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Amphipoda, ,1135,0.223,0.0003
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Obelia longissima, ,117389,0.223,0.001
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Microsetella, ,115341,1.782,0.0018
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Limacina helicina, ,140223,3.563,0.0019
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Tortanus discaudatus, ,157684,0.668,0.0031
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Cyclopoida,nauplii,1101,5.345,0.0032
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Calanus glacialis/marshallae, ,196770,0.223,0.0042
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Gammaridae, ,101383,0.445,0.0062
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Ophiuroidea,larvae,123084,21.38,0.0062
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Pseudocalanus mimus, ,355067,0.891,0.0062
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Harpacticoida, ,1102,2.672,0.0103
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Evadne nordmanni, ,106273,7.127,0.0145
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Echinodermata,bipinnaria,1806,7.127,0.0154
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Gastropoda,larvae,101,85.519,0.0482
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Cumacea, ,1137,3.563,0.0516
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Decapoda,larvae,1130,0.223,0.0588
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Echinodermata,larvae,1806,427.595,0.0605
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Fritillaria borealis, ,103375,149.658,0.0761
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Pseudocalanus acuspes, ,104514,21.38,0.1396
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Pseudocalanus,male,104165,46.323,0.1439
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Sipuncula,larvae,1268,42.759,0.1578
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Parasagitta elegans, ,105440,4.009,0.1669
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Pseudocalanus newmani, ,157679,53.449,0.1782
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Podon leuckartii, ,106277,128.278,0.1945
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Calanoida,nauplii,1100,441.848,0.2131
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Aglantha digitale, ,117849,13.14,0.2561
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Parasagitta elegans, ,105440,0.445,0.302
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Cirripedia,nauplii,1082,413.342,0.3044
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Eurytemora herdmani, ,157670,42.759,0.3425
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Bivalvia, ,105,1297.038,0.3819
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Oithona similis, ,106656,555.873,0.6047
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Pseudocalanus, ,104165,655.645,0.7333
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Cirripedia,cyprid,1082,71.266,0.9468
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Acartia longiremis, ,104257,242.304,0.989
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Acartia hudsonica, ,157664,306.443,1.3576
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Centropages abdominalis, ,196774,327.823,1.5431
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Polychaeta,larvae,883,897.949,1.9322
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Eurytemora, ,104240,684.152,2.201
AMBON2017,ML3.1,TWINRING_150UM_MICROSCOPY,2017-08-17T06:18,-160.6218,70.495,19,,16,Acartia, ,104108,2736.607,2.8893
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Pisces,larvae,11676,0.177,n/a
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Isopoda, ,1131,0.177,n/a
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Amphipoda, ,1135,0.177,0.0002
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Obelia longissima, ,117389,0.354,0.0022
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Ophiuroidea,larvae,123084,1.415,0.0023
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Calanus glacialis/marshallae, ,196770,2.123,0.0033
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Ctenophora, ,1248,0.354,0.0033
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Cyclopoida,nauplii,1101,5.662,0.0041
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Bryozoa,cyphonautes,146142,11.323,0.0049
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Tortanus discaudatus, ,157684,0.708,0.0059
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Pseudocalanus,male,104165,2.831,0.0063
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Pseudocalanus newmani, ,157679,2.831,0.007
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Gammaridae, ,101383,1.592,0.0097
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Gastropoda,larvae,101,22.647,0.0115
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Harpacticoida, ,1102,2.831,0.0126
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Limacina helicina, ,140223,19.816,0.0163
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Eurytemora, ,104240,2.831,0.0183
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Calanoida,nauplii,1100,28.309,0.0209
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Acartia, ,104108,53.786,0.036
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Pseudocalanus acuspes, ,104514,8.493,0.038
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Cumacea, ,1137,13.8,0.0443
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Echinodermata,bipinnaria,1806,16.985,0.0461
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Parasagitta elegans, ,105440,3.185,0.0987
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Aglantha digitale, ,117849,82.095,0.1154
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Acartia longiremis, ,104257,48.125,0.1605
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Bivalvia, ,105,498.231,0.1744
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Cirripedia,nauplii,1082,288.747,0.1931
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Pseudocalanus, ,104165,110.403,0.2117
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Centropages abdominalis, ,196774,22.647,0.2264
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Echinodermata,larvae,1806,4891.719,0.2676
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Fritillaria borealis, ,103375,611.465,0.3081
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Polychaeta,larvae,883,101.911,0.3507
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Oithona similis, ,106656,486.907,0.566
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Cirripedia,cyprid,1082,62.279,0.7667
AMBON2017,ML1.2,TWINRING_150UM_MICROSCOPY,2017-08-17T17:42,-163.0542,70.1388,23,,20,Calanus glacialis/marshallae, ,196770,3.185,1.1476
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Isopoda, ,1131,3,n/a
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Cnidaria, ,1267,3,0.0012
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Euphausiacea,calytopsis,1128,0.188,0.0024
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Gammaridae, ,101383,0.188,0.0074
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Limacina helicina, ,140223,12,0.0149
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Pseudocalanus newmani, ,157679,6,0.0201
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Eurytemora, ,104240,12,0.0242
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Paguridae,zoea,106738,0.188,0.0276
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Calanus glacialis/marshallae, ,196770,1.5,0.0334
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Pseudocalanus minutus, ,104517,3,0.0397
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Ophiuroidea,larvae,123084,120.002,0.0749
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Tortanus discaudatus, ,157684,3,0.0778
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Pseudocalanus,male,104165,18,0.0826
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Acartia hudsonica, ,157664,24,0.0912
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Gastropoda,larvae,101,168.003,0.0937
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Acartia, ,104108,96.002,0.1006
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Evadne nordmanni, ,106273,18,0.1075
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Clione limacina, ,139178,0.188,0.1231
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Eurytemora herdmani, ,157670,12,0.1288
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Epilabidocera longipedata, ,346398,1.5,0.1665
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Calanoida,nauplii,1100,396.008,0.1672
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Pseudocalanus acuspes, ,104514,21,0.1723
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Cirripedia,nauplii,1082,180.004,0.2451
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Podon leuckartii, ,106277,126.003,0.2786
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Pseudocalanus, ,104165,96.002,0.3215
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Fritillaria borealis, ,103375,996.02,0.4767
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Acartia longiremis, ,104257,114.002,0.4847
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Calanus glacialis/marshallae, ,196770,2.063,0.5164
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Aglantha digitale, ,117849,129.003,0.5625
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Echinodermata,bipinnaria,1806,168.003,0.8318
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Centropages abdominalis, ,196774,300.006,1.3262
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Bivalvia, ,105,3936.068,1.496
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Oithona similis, ,106656,1368.027,1.5657
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Echinodermata,larvae,1806,23712.41,1.7533
AMBON2017,BBL2,TWINRING_150UM_MICROSCOPY,2017-08-21T01:22,-163.9212,69.4504,23,,20,Parasagitta elegans, ,105440,28.501,2.1544
